date,fedfunds,gs10,spread_yield_curve
1980-01-01,13.82,10.8,-3.0199999999999996
1980-02-01,14.13,12.41,-1.7200000000000006
1980-03-01,17.19,12.75,-4.440000000000001
1980-04-01,17.61,11.47,-6.139999999999999
1980-05-01,10.98,10.18,-0.8000000000000007
1980-06-01,9.47,9.78,0.3099999999999987
1980-07-01,9.03,10.25,1.2200000000000006
1980-08-01,9.61,11.1,1.4900000000000002
1980-09-01,10.87,11.51,0.6400000000000006
1980-10-01,12.81,11.75,-1.0600000000000005
1980-11-01,15.85,12.68,-3.17
1980-12-01,18.9,12.84,-6.059999999999999
1981-01-01,19.08,12.57,-6.509999999999998
1981-02-01,15.93,13.19,-2.74
1981-03-01,14.7,13.12,-1.58
1981-04-01,15.72,13.68,-2.040000000000001
1981-05-01,18.52,14.1,-4.42
1981-06-01,19.1,13.47,-5.630000000000001
1981-07-01,19.04,14.28,-4.76
1981-08-01,17.82,14.94,-2.880000000000001
1981-09-01,15.87,15.32,-0.5499999999999989
1981-10-01,15.08,15.15,0.07000000000000028
1981-11-01,13.31,13.39,0.08000000000000007
1981-12-01,12.37,13.72,1.3500000000000014
1982-01-01,13.22,14.59,1.3699999999999992
1982-02-01,14.78,14.43,-0.34999999999999964
1982-03-01,14.68,13.86,-0.8200000000000003
1982-04-01,14.94,13.87,-1.0700000000000003
1982-05-01,14.45,13.62,-0.8300000000000001
1982-06-01,14.15,14.3,0.15000000000000036
1982-07-01,12.59,13.95,1.3599999999999994
1982-08-01,10.12,13.06,2.9400000000000013
1982-09-01,10.31,12.34,2.0299999999999994
1982-10-01,9.71,10.91,1.1999999999999993
1982-11-01,9.2,10.55,1.3500000000000014
1982-12-01,8.95,10.54,1.5899999999999999
1983-01-01,8.68,10.46,1.7800000000000011
1983-02-01,8.51,10.72,2.210000000000001
1983-03-01,8.77,10.51,1.7400000000000002
1983-04-01,8.8,10.4,1.5999999999999996
1983-05-01,8.63,10.38,1.75
1983-06-01,8.98,10.85,1.8699999999999992
1983-07-01,9.37,11.38,2.0100000000000016
1983-08-01,9.56,11.85,2.289999999999999
1983-09-01,9.45,11.65,2.200000000000001
1983-10-01,9.48,11.54,2.0599999999999987
1983-11-01,9.34,11.69,2.3499999999999996
1983-12-01,9.47,11.83,2.3599999999999994
1984-01-01,9.56,11.67,2.1099999999999994
1984-02-01,9.59,11.84,2.25
1984-03-01,9.91,12.32,2.41
1984-04-01,10.29,12.63,2.3400000000000016
1984-05-01,10.32,13.41,3.09
1984-06-01,11.06,13.56,2.5
1984-07-01,11.23,13.36,2.129999999999999
1984-08-01,11.64,12.72,1.08
1984-09-01,11.3,12.52,1.2199999999999989
1984-10-01,9.99,12.16,2.17
1984-11-01,9.43,11.57,2.1400000000000006
1984-12-01,8.38,11.5,3.119999999999999
1985-01-01,8.35,11.38,3.030000000000001
1985-02-01,8.5,11.51,3.01
1985-03-01,8.58,11.86,3.2799999999999994
1985-04-01,8.27,11.43,3.16
1985-05-01,7.97,10.85,2.88
1985-06-01,7.53,10.16,2.63
1985-07-01,7.88,10.31,2.4300000000000006
1985-08-01,7.9,10.33,2.4299999999999997
1985-09-01,7.92,10.37,2.4499999999999993
1985-10-01,7.99,10.24,2.25
1985-11-01,8.05,9.78,1.7299999999999986
1985-12-01,8.27,9.26,0.9900000000000002
1986-01-01,8.14,9.19,1.049999999999999
1986-02-01,7.86,8.7,0.839999999999999
1986-03-01,7.48,7.78,0.2999999999999998
1986-04-01,6.99,7.3,0.3099999999999996
1986-05-01,6.85,7.71,0.8600000000000003
1986-06-01,6.92,7.8,0.8799999999999999
1986-07-01,6.56,7.3,0.7400000000000002
1986-08-01,6.17,7.17,1.0
1986-09-01,5.89,7.45,1.5600000000000005
1986-10-01,5.85,7.43,1.58
1986-11-01,6.04,7.25,1.21
1986-12-01,6.91,7.11,0.20000000000000018
1987-01-01,6.43,7.08,0.6500000000000004
1987-02-01,6.1,7.25,1.1500000000000004
1987-03-01,6.13,7.25,1.12
1987-04-01,6.37,8.02,1.6499999999999995
1987-05-01,6.85,8.61,1.7599999999999998
1987-06-01,6.73,8.4,1.67
1987-07-01,6.58,8.45,1.8699999999999992
1987-08-01,6.73,8.76,2.0299999999999994
1987-09-01,7.22,9.42,2.2
1987-10-01,7.29,9.52,2.2299999999999995
1987-11-01,6.69,8.86,2.169999999999999
1987-12-01,6.77,8.99,2.2200000000000006
1988-01-01,6.83,8.67,1.8399999999999999
1988-02-01,6.58,8.21,1.6300000000000008
1988-03-01,6.58,8.37,1.7899999999999991
1988-04-01,6.87,8.72,1.8500000000000005
1988-05-01,7.09,9.09,2.0
1988-06-01,7.51,8.92,1.4100000000000001
1988-07-01,7.75,9.06,1.3100000000000005
1988-08-01,8.01,9.26,1.25
1988-09-01,8.19,8.98,0.7900000000000009
1988-10-01,8.3,8.8,0.5
1988-11-01,8.35,8.96,0.6100000000000012
1988-12-01,8.76,9.11,0.34999999999999964
1989-01-01,9.12,9.09,-0.02999999999999936
1989-02-01,9.36,9.17,-0.1899999999999995
1989-03-01,9.85,9.36,-0.4900000000000002
1989-04-01,9.84,9.18,-0.6600000000000001
1989-05-01,9.81,8.86,-0.9500000000000011
1989-06-01,9.53,8.28,-1.25
1989-07-01,9.24,8.02,-1.2200000000000006
1989-08-01,8.99,8.11,-0.8800000000000008
1989-09-01,9.02,8.19,-0.8300000000000001
1989-10-01,8.84,8.01,-0.8300000000000001
1989-11-01,8.55,7.87,-0.6800000000000006
1989-12-01,8.45,7.84,-0.6099999999999994
1990-01-01,8.23,8.21,-0.019999999999999574
1990-02-01,8.24,8.47,0.23000000000000043
1990-03-01,8.28,8.59,0.3100000000000005
1990-04-01,8.26,8.79,0.5299999999999994
1990-05-01,8.18,8.76,0.5800000000000001
1990-06-01,8.29,8.48,0.19000000000000128
1990-07-01,8.15,8.47,0.3200000000000003
1990-08-01,8.13,8.75,0.6199999999999992
1990-09-01,8.2,8.89,0.6900000000000013
1990-10-01,8.11,8.72,0.6100000000000012
1990-11-01,7.81,8.39,0.580000000000001
1990-12-01,7.31,8.08,0.7700000000000005
1991-01-01,6.91,8.09,1.1799999999999997
1991-02-01,6.25,7.85,1.5999999999999996
1991-03-01,6.12,8.11,1.9899999999999993
1991-04-01,5.91,8.04,2.129999999999999
1991-05-01,5.78,8.07,2.29
1991-06-01,5.9,8.28,2.379999999999999
1991-07-01,5.82,8.27,2.4499999999999993
1991-08-01,5.66,7.9,2.24
1991-09-01,5.45,7.65,2.2
1991-10-01,5.21,7.53,2.3200000000000003
1991-11-01,4.81,7.42,2.6100000000000003
1991-12-01,4.43,7.09,2.66
1992-01-01,4.03,7.03,3.0
1992-02-01,4.06,7.34,3.2800000000000002
